Text;Tweet;Class
RT @harisubagya: Lagi pingin GENJOT pajak, bahkan menaikan PPN, terus Awal2 ada tax amnesty. Mboh itunganya gimana, waktu itu jadi keluar uâ€¦;pingin genjot pajak naik ppn taxamnesty mboh itunganya gimana;negative
Lagi pingin GENJOT pajak, bahkan menaikan PPN, terus Awal2 ada tax amnesty. Mboh itunganya gimana, waktu itu jadi kâ€¦ https://t.co/TB3oL7J54c;pingin genjot pajak naik ppn taxamnesty mboh itunganya gimana, waktu itu jadi keluar uang lumayan. (Gapapa lah buat negara, juga buat membangun) Ehh Ini ada berita PANDORA PAPERS. terus masih menjabat MENTERI. Ini gimana Bu Sri? ndang bali yo sri;negative
Kasihan Rakyat Indonesia mereka membayar pajak malah dikorupsikan.skrg naik karena dana sudah habis dibuat oknum seâ€¦ https://t.co/UB0kp9u5e2;kasihan rakyat indonesia bayar pajak korupsi sekarang dana habis oknum senangnya ppkm serta berkepanjangan covid;negative
"RT @KetumProDEMnew: Pejabat negara ramai sembunyikan harta kekayaan dan menghindar bayar pajak.

Sangat menyedihkan, karena keuangan negaraâ€¦";jabat negara ramai sembunyi harta kaya hindar bayar pajak sedih uang negara;negative
Pandora Papers mengungkap bagaimana cara orang-orang kaya menyembunyikan aset dan kekayaan untuk menghindari pajak.â€¦ https://t.co/BAkgvRE9Ds;pandora papers ungkap orang kaya sembunyi aset kaya hindar pajak. Pada sisi lain, rakyat jelata malah terbebani dengan adanya pemberlakuan umum wajib pajak kepada seluruh masyarakat. Rakyat dapat apesnya?;negative
Pemkot Bekasi dan Kanwil DJP Jabar III Sosialisasikan Kepatuhan Wajib Pajak Â  https://t.co/ti6qRU7Umt;pemkot bekas kanwil djp jabar iii sosialisasi patuh wajib pajak;positive
RT @bachrum_achmadi: Nakut-nakuti rakyat no 1. Tp dia sendiri ngumpetin hartanya biar ga kena pajak. Munafik! ðŸ™ˆ https://t.co/0k6Q69Cy6E;nakut-nakuti rakyat no tapi ngumpetin harta biar ga kena pajak munafik;negative
"RT @myozhyme: #RUUHPPdemiKeadilanRakyat mrp penegasaan komitmen penataan sistem perpajakan agar lebih adil &amp; menutup celah penghindaran pajâ€¦";ruuhpp demi adil rakyat merupakan penegasaan komitmen tata sistem pajak adil tutup celah hindar pajak;positive
RT @muslimahnewscom: MuslimahNews â€“ Harapan untuk menghentikan kezaliman pajak haruslah berawal dari mengubah sistem negeri ini. Ketika rakâ€¦;muslimahnews harap henti zalim pajak ubah sistem negeri;negative
Orang Bijak taat pajak, orang jahat makan pajak, orang gila engga di ajak;orang bijak taat pajak orang jahat makan pajak orang gila engga ajak;negative
RT @GhazaliIhwan: Seandainya rakyat kompak gak bayar pajak, apa jadinya negara ini? #rakyatmenghukum;anda rakyat kompak gak bayar pajak negara rakyat hukum;negative
"RT @MisterPostman10: @boonteron Gw gak mau bayar pajak 
- Shadow";gw gak bayar pajak shadow;negative
RT @muslimahnewscom: MuslimahNews â€“ Topangan kebutuhan untuk menyejahterakan rakyat hanya dari sumber-sumber pendapatan yang bertumpu padaâ€¦;muslimahnews topang butuh sejahtera rakyat sumber dapat tumpu;negative
#Editorial â€” DPR mengesahkan UU Harmonisasi Peraturan Perpajakan (HPP) yang pemerintah ajukan. Pihak yang kontra menilaâ€¦ https://t.co/T4QXQEXYII;editorial dpr kesah uu harmonisasi atur pajak hpp yang pemerintah aju yang kontra nilai UU ini justru sangat zalim. Selain menjadikan rakyat sebagai objek perburuan pajak, juga menampakkan pemihakan pemerintah pada kepentingan ;negative
RT @ardhinotonegoro: @RArdyone Pemimpin yang cerdas mampu membuat Rakyatnya punya pekerjaan yang layak, tempat tinggal yang layak dan tidak menâ€¦;pimpin cerdas rakyat kerja yang layak tinggal yang layak;positive
@inisifanii Ketua tim nasional bolos bayar pajak;ketua tim nasional bolos bayar pajak;negative
RT @RamliRizal: Kok tega banget ya ? yang gede2 dapat bebas pajak (tax holiday). Royalti Batu Bara dihapus, negara rugi 60T. Eh pajak untuk nâ€¦;tega banget ya yang gede bebas pajak tax holiday royalti batu bara hapus negara rugi pajak;negative
"RT @yosnggarang: Rakyat terjerat banyak utang pinjam online dgn bunga tinggi.

Negara secara sadar minjam utang dgn bunga lebih tinggi dariâ€¦";rakyat jerat utang pinjam online dengan bunga negara sadar minjam utang dengan bunga;negative
"RT @Naaoolll: Orang kaya dibebaslan pajaknya, rakyat kecil diperas dg pajak macamÂ² 

#PajakPerasRakyat";orang kaya dibebaslan pajak rakyat peras dengan pajak pajakperasrakyat;negative
"RT @vheattoe: Knp sih ngotot bgtt akhir2 ini utak-atik penerimaan negara atas pajak.
Coba deh focus evaluasi penggunaan penerimaan pajaknyaâ€¦";kenapa sih ngotot banget utak-atik terima negara pajak coba deh focus evaluasi guna terima pajak;negative
"RT @shifrunn: ""Sesungguhnya para penarik/pemungut pajak (diadzab) di nerakaâ€[HR Ahmad 4/143, Abu Dawud 2930]
#PajakPerasRakyat";sungguh tarik mungut pajak diadzab neraka ahmad abu dawud pajakperasrakyat;negative
RT @voaislam: Dinilai Tidak Berkeadilan PKS Tolak RUU HPP, Anis: Pandora Papers Bukti Penghindaran Pajak - https://t.co/EzvWujmLgO https://â€¦;nilai tidak adil pks tolak ruuhpp anis pandora papers bukti hindar pajak;negative
RT @koerniawanr02: @SumandoGaek @mahdlarmy Ga sabar nunggu masyarakat di uganda entar dipaksa apabila ga bayar pajak. Ga mempan dipaksa dipâ€¦;ga sabar nunggu masyarakat uganda entar paksa ga bayar pajak ga mempan paksa;negative
"RT @KetumProDEMnew: Skandal Pandora Papers baru terkuak, kok malah sibuk nyapres 2024? 

Pejabat negara yang menghindar bayar pajak adalahâ€¦";skandal pandora papers kuak sibuk nyapres jabat negara hindar bayar pajak;negative
sudah pasti. rakyat harus membayar pajak sebesar besarnya. https://t.co/upSiHtKufQ;rakyat bayar pajak besar;negative
RT @OposisiCerdas: Royalti Batu Bara Dihapus tapi Pajak Nelayan Naik 400 Persen, Rizal Ramli: Oligarki Diuntungkan, Rakyat Diperas dan Dibiâ€¦;royalti batu bara hapus pajak nelayan persen rizalramli oligarki untung rakyat peras;negative
RT @setojayakarta: Para Nelayan terancam tidak bisa bekerja melaut di suatu daerah, karena izin melaut tidak di perpanjang. Mereka tidak saâ€¦;nelayan ancam laut daerah izin laut panjang;negative
@Uwandi3 @Resty442_ Kalau taipan atau pengusaha kakap justru mendapat keringanan atau bebas pajak maka beban berat di rakyat kecil?;taipan usaha kakap ringan bebas pajak beban berat rakyat;negative
"Pinginnya profesor jelasin mengapa DPR &amp; pemerintah melanggar pasal 23 UUD 45 walaupunâ€¦ https://t.co/vifKdVDsqz";"pinginnya profesor jelasin dpr pemerintah langgar pasal uud walaupun kata ""pemerintah"" diamandemen jadi ""presiden"".
Tujuan KKN untuk mendapat penghasilan,  objek PPh adalah penghasilan. 
Jadi makna ""untuk keperluan negara"" adalah Pajak dikelola presiden sebagai";negative
RT @KemenkeuRI: NIK sebagai NPWP dalam #UUHPP adalah integrasi basis data kependudukan dengan sistem administrasi perpajakan untuk mempermuâ€¦;nik npwp uuhpp integrasi basis data duduk sistem administrasi pajak mudah;positive
"RT @KemenkeuRI: Jadi, bukan berarti setiap orang harus bayar pajak, ya. Syarat pengenaan pajak tetap berlaku. 

Penghasilan harus di atas Pâ€¦";orang bayar pajak ya syarat kena pajak laku hasil;positive
@M1_nusaputra @fahrisalam Masih makan dr uang pajak jangan belagu di depan rakyat. Gak tau malu.;makan dari uang pajak belagu rakyat gak tau malu;negative
Mulai Tahun Depan Liburan ke Thailand Bakal Kena Pajak. Semua dipajakin. #PajakPerasRakyat. #PajakPerasRakyat.;libur thailand kena pajak dipajakin pajakperasrakyat;negative
"RT @dek_bintank: #PajakPerasRakyat
... menteri keuangan hebat : membangun negara dengan modal hutang dan pajak di semua lini kehidupan rakyâ€¦";pajakperasrakyat menteri uang hebat bangun negara modal hutang pajak lini hidup rakyat;negative
Ayo lebih rajin bayar pajak biar lebih semangat pakpolnya. https://t.co/PiLpe8gxmM;ayo rajin bayar pajak biar semangat pakpolnya;positive
@SantorinisSun Ijtima ulama tapi hasilnya TUKANG GARONG  dari uang pajak sampai pohon monas;ijtima ulama hasil tukang garong uang pajak pohon monas;negative
Saya telah bergabung menjadi pahlawan negara dengan mendaftarkan diri sebagai Wajib Pajak di KPP Pratama Tegal. Kamu kapan;gabung pahlawan negara daftar wajib pajak kpp pratama tegal;positive
"RT @elsamnews: ""ELSAM menilai Perpres 83/2021 Tentang Pencantuman dan Pemanfaatan Nomor Induk Kependudukan (NIK) dan atau Nomor Pokok Wajibâ€¦";elsam nilai pres cantum manfaat nomor induk duduk nik nomor pokok wajib;positive
@IsbandiM @Sandi59954831 @ronavioleta @jokowi Semiskin apa sih lu beli minyak aja ngeluh.btw dah bayar pajak belum wkkwkwk;miskin sih lu beli minyak aja ngeluh btw dah bayar pajak;negative
