Kata;Jumlah_Bobot
 pajakperasrakyat;16,87511073
 rakyat;13,07567365
 kemplang;5,561838335
 kaya;2,420883066
 pajak;2,417774866
 ampun;1,598280629
 jokowi;1,532197561
 jabat;1,225378442
 aja;1,018221656
 cepat;0,94691766
 nilai;0,898773074
 bijak;0,812055251
 kereta;0,794186129
 ya;0,737268869
 pks;0,707597618
 pandora;0,686447252
 negara;0,658822369
 ingkar;0,64816455
 peras;0,630497561
 bikin;0,629373548
 nelayan;0,620697892
 tolak;0,612118326
 utang;0,580137072
 uang;0,55618488
 apbn;0,527997189
 ngutang;0,420868786
 usaha;0,381076781
 hapus;0,349550746
 milik;0,344352352
 rugi;0,343708419
 nya;0,341140771
 jilidii;0,339737711
 pidana;0,336723757
 papers;0,328507571
 kritik;0,319671511
 ngemplang;0,319508712
 ekonom;0,314912829
 ulang;0,309123089
 taxamnesty;0,29736773
 periode;0,287560756
 kelompok;0,287558461
 sanksi;0,281485509
 cukong;0,270213305
 gede;0,26696772
 sepele;0,266563535
 banget;0,262483502
 anggap;0,252070725
 program;0,246792057
 kabar;0,24474997
 oligarki;0,243559715
 kejar;0,243064812
 rezim;0,238847591
 blunder;0,231429655
 hukum;0,23039344
 atur;0,227872823
 plinplan;0,221953099
 makan;0,221416837
 happy;0,219984447
 apbntotal;0,210623447
 presiden;0,204260657
 orang;0,200314827
 ii;0,200056709
 lalai;0,194873312
 gak;0,189433156
 sesuai;0,18853201
 sakit;0,186463789
 bara;0,182308145
 gara;0,178964237
 cangkang;0,178406183
 konglomerat;0,176997687
 beban;0,174199829
 paksa;0,172843224
 miskin;0,170060976
 gimana;0,169373621
 kasih;0,169113143
 wacana;0,168541512
 batu;0,168235363
 bhima;0,167940669
 ruu;0,166731606
 ekonomi;0,166610636
 tega;0,165749534
 sembako;0,165591781
 lo;0,16111733
 hancur;0,160947475
 gw;0,159302162
 dampak;0,154209361
 eh;0,153432204
 horang;0,153082939
 gagal;0,152393289
 tanda;0,152377004
 suruh;0,151530401
 turun;0,149410139
 hidup;0,148318302
 situ;0,147561761
 korupsi;0,146390035
 tax;0,145542389
 haram;0,144724213
 januari;0,144107008
 royalti;0,143318382
 tiada;0,143241706
 hilang;0,139248375
 cuci;0,137187084
