Kata;Bobot
 a;0,000409795
 adil;0,224122654
 adil;0,207534225
 adil;0,190492082
 adil;0,170960332
 adil;0,156258288
 adil;0,154404272
 adil;0,152134229
 adil;0,151087495
 adil;0,149649813
 adil;0,147598034
 adil;0,145676704
 adil;0,137078475
 adil;0,123834245
 adil;0,114118172
 adil;0,110913865
 adil;0,092877106
 adil;0,077011542
 adil;0,018271615
 adilsehat;0,074668917
 administrasi;0,11684302
 administrasi;0,106034031
 administrasi;0,096914887
 administrasi;0,064097187
 administrasi;0,054492142
 administrasi;0,028786882
 agama;0,025319368
 agresif;0,015396795
 akselerasi;0,016967511
 aktivitas;0,009511525
 akuntabel;0,070260022
 akuntabel;0,032195945
 alas;0,038422395
 alas;0,024111055
 alas;0,016900635
 alas;0,010170508
 alas;0,007486942
 alesan;0,064455391
 alternatif;0,039625372
 aman;0,01809847
 aman;0,00324985
 aman;0,001678161
 aman;0,000884922
 ambil;0,000422778
 amnesty;0,000590457
 amt;0,043644003
 analis;0,018469537
 analis;0,015042541
 analis;0,01493494
 ancam;0,049481849
 ancam;0,018511302
 ancam;0,012253022
 andal;0,033802976
 apah;0,000476574
 as;0,047352966
 as;0,041436563
 as;0,036846912
 asemm;0,002277151
 aset;0,028223427
 aset;0,008353469
 aset;0,004082453
 assuaibi;0,024538553
 asuransi;0,02907684
 asuransi;0,003685803
 atur;0,074784829
 atur;0,053097022
 atur;0,045114241
 atur;0,041828181
 atur;0,040397734
 atur;0,036094463
 atur;0,035602516
 atur;0,033007359
 atur;0,029941956
 atur;0,021940185
 atur;0,020162353
 atur;0,019505339
 atur;0,018930998
 atur;0,017089569
 atur;0,017051779
 atur;0,016873895
 atur;0,012099684
 atur;0,01089579
 atur;0,010606111
 atur;0,010144431
 atur;0,009767189
 awas;0,033526579
 ayam;0,000448027
 ayo;0,086371662
 ayo;0,051376538
 ayo;0,016498034
 ayo;0,015363745
 ayo;0,012860564
 b;0,00263451
 b;0,000597095
 babi;0,000859854
 babi;0,000501311
 badan;0,121926401
 badan;0,119984613
 badan;0,116383136
 badan;0,080038222
 badan;0,049583407
 badan;0,033157412
 bahas;0,02078183
 baik;0,068679131
 bangun;0,025730678
 bangun;0,020396526
 bangun;0,005136434
 bangun;0,004624009
 bangun;0,004360457
 bangun;0,001486422
 bangun;0,001131536
 bangun;0,001103692
 bangun;0,00063785
 bangun;0,000225467
 bank;0,000684987
 barang;0,011445129
 barang;0,007533869
 barang;0,001357333
 barang;0,001229128
 basis;0,166528952
 basis;0,063370746
 basis;0,04741819
 basis;0,039614668
 basis;0,019656168
 batas;0,019123092
 batas;0,005850151
 batas;0,004893542
 batas;0,002195191
 bawa;0,00814349
 bawah;0,023049837
 bawah;0,010598061
 bayar;0,233406866
 bayar;0,231699295
 bayar;0,193806786
 bayar;0,156145906
 bayar;0,155978379
 bayar;0,139412277
 bayar;0,13310267
 bayar;0,122431816
 bayar;0,117316687
 bayar;0,115169926
 bayar;0,10178428
 bayar;0,098957612
 bayar;0,096773293
 bayar;0,094502206
 bayar;0,092891084
 bayar;0,09039274
 bayar;0,088259186
 bayar;0,085477751
 bayar;0,0711479
 bayar;0,068707012
 bayar;0,064141378
 bayar;0,061887265
 bayar;0,058978145
 bayar;0,058565306
 bayar;0,058262199
 bayar;0,058011617
 bayar;0,055494189
 bayar;0,055288245
 bayar;0,051031656
 bayar;0,050740513
 bayar;0,048943669
 bayar;0,048236058
 bayar;0,047624117
 bayar;0,047450125
 bayar;0,047094366
 bayar;0,045718658
 bayar;0,04564234
 bayar;0,045171863
 bayar;0,045143429
 bayar;0,042961732
 bayar;0,042138958
 bayar;0,041910764
 bayar;0,041482126
 bayar;0,040521518
 bayar;0,037402016
 bayar;0,036779595
 bayar;0,036613474
 bayar;0,035363576
 bayar;0,033719497
 bayar;0,032845293
 bayar;0,032775739
 bayar;0,03161158
 bayar;0,031029882
 bayar;0,030333703
 bayar;0,029231051
 bayar;0,028761562
 bayar;0,027911497
 bayar;0,027553918
 bayar;0,027519873
 bayar;0,027429984
 bayar;0,026813087
 bayar;0,026407683
 bayar;0,026114624
 bayar;0,02452863
 bayar;0,02324825
 bayar;0,023244437
 bayar;0,023197227
 bayar;0,022966426
 bayar;0,02254566
 bayar;0,022425758
 bayar;0,022422234
 bayar;0,02208173
 bayar;0,021748817
 bayar;0,021639526
 bayar;0,020876848
 bayar;0,020779076
 bayar;0,019658181
 bayar;0,019574658
 bayar;0,019230308
 bayar;0,019166541
 bayar;0,018163611
 bayar;0,018062866
 bayar;0,017793786
 bayar;0,017653607
 bayar;0,016578962
 bayar;0,016542488
 bayar;0,015805248
 bayar;0,015760589
 bayar;0,015735126
 bayar;0,014755113
 bayar;0,014510601
 bayar;0,014193229
 bayar;0,01406099
 bayar;0,01399296
 bayar;0,012177671
 bayar;0,012068079
 bayar;0,012063421
 bayar;0,012036002
 bayar;0,011883836
 bayar;0,011725958
 bayar;0,011539979
 bayar;0,01136493
 bayar;0,011343649
 bayar;0,011193542
 bayar;0,010794981
 bayar;0,010687488
 bayar;0,010630861
 bayar;0,010575254
 bayar;0,010442891
 bayar;0,010306789
 bayar;0,01024416
 bayar;0,010189201
 bayar;0,01016553
 bayar;0,00885876
 bayar;0,008628408
 bayar;0,008360266
 bayar;0,008194636
 bayar;0,008194508
 bayar;0,00817588
 bayar;0,007961146
 bayar;0,007898433
 bayar;0,006818803
 bayar;0,006693
 bayar;0,005641192
 bayar;0,005059143
 bayar;0,005008963
 bayar;0,004266098
 bayar;0,003704696
 bayar;0,001580704
 bayar;0,000744914
 bayar;0,000327245
 bayar;0,000296843
 bayar;0,000122885
 beban;0,034998039
 beban;0,020972089
 beban;0,011643654
 beban;0,011587323
 beban;0,011572846
 beban;0,010165752
 beban;0,00638485
 beban;0,006115142
 beban;0,005672702
 beban;0,004902802
 beban;0,004062688
 beban;0,003231244
 beban;0,00295378
 beban;0,002888559
 beban;0,002651119
 beban;0,002472422
 beban;0,002229872
 beban;0,002195185
 beban;0,00058816
 beban;0,000137046
 bebas;0,255185146
 bebas;0,234283073
 bebas;0,151588804
 bebas;0,135196512
 bebas;0,127138289
 bebas;0,089007505
 bebas;0,088285359
 bebas;0,08591887
 bebas;0,082628794
 bebas;0,081473411
 bebas;0,079277636
 bebas;0,078689545
 bebas;0,074828908
 bebas;0,071341956
 bebas;0,070728476
 bebas;0,065895048
 bebas;0,064908461
 bebas;0,062627439
 bebas;0,062463234
 bebas;0,061615169
 bebas;0,060610418
 bebas;0,060381295
 bebas;0,060229093
