Kata;Jumlah_Bobot
 taxamnesty;12,33869761
 wajib;11,51375447
 pajak;7,589282335
 uuhpp;6,370096225
 bayar;5,18693577
 rp;3,299146615
 reformasi;3,19402936
 bebas;3,058700108
 rupiah;2,554939787
 adil;2,524023149
 indonesia;2,448675767
 kuat;2,444423347
 umkm;2,312913641
 karbon;2,270491977
 jenius;2,087692427
 ruuhpp;1,983461547
 tuju;1,961365617
 paja;1,932949567
 sentimen;1,846136629
 masyarakat;1,844356815
 nik;1,536588638
 integrasi;1,4456838
 dorong;1,415904076
 ri;1,384305612
 jilid;1,314221545
 hasil;1,264020271
 sistem;1,175863282
 tutup;1,171117386
 data;1,086880653
 negara;1,06759283
 tingkat;1,064922983
 wamenkeu;1,058159167
 maju;1,051288483
 ruuhppuntukmasyarakatkecil;1,041107187
 jilidii;1,040093724
 perintah;0,981921494
 janji;0,981057402
 salah;0,975644981
 biar;0,950976443
 npwp;0,938634251
 hutang;0,934891886
 yudikatif;0,922382097
 mudah;0,900278964
 harta;0,886841456
 patuh;0,882722086
 hindar;0,876625626
 tentu;0,87098517
 pph;0,863495942
 ppn;0,861021677
 cegah;0,809272374
 orang;0,79692933
 duduk;0,758707755
 terap;0,739823315
 yaa;0,705913682
 kena;0,705190476
 sektor;0,701795548
 tarif;0,68130663
 ga;0,672553741
 naik;0,639171952
 rela;0,634227501
 laku;0,62126452
 ubah;0,588990276
 atur;0,574935623
 negeri;0,565296576
 jalan;0,552000338
 raup;0,54239978
 pandemi;0,541473618
 moga;0,52672878
 implementasi;0,526190243
 badan;0,521073191
 nikmat;0,51578209
 rakyat;0,512295303
 urus;0,511849627
 eksekutif;0,501062172
 tugas;0,494888063
 laksana;0,494382452
 administrasi;0,46716815
 legislatif;0,453637623
 potensi;0,452722602
 selamat;0,444151275
 pilih;0,439617825
 program;0,438194545
 imbang;0,434426198
 harap;0,425132873
 investasi;0,422129008
 pimpin;0,408712498
 doang;0,40851146
 sri;0,397946112
 klaim;0,393202434
 pagi;0,364196667
 minimum;0,363830406
 taat;0,354600209
 kerja;0,35406997
 iklim;0,351572086
 gotong;0,341626642
 basis;0,336588722
 wujud;0,331793815
 luas;0,316146601
 sederhana;0,306693841
 xi;0,303557041
 percaya;0,298552626
 sulit;0,294756502
 gegara;0,289247753
 ktp;0,285976785
 proses;0,283923006
 gak;0,276416878
 ngumpetin;0,273776906
 harga;0,272238558
 mulyani;0,271727622
 kpp;0,271516537
 bijak;0,262189048
 infrastruktur;0,260430755
 triliun;0,256735204
 menteri;0,250273539
 dunia;0,240496118
 menkeu;0,234030177
 relevan;0,231378266
 dana;0,22479676
 juta;0,222221483
 properti;0,221045807
 sbn;0,220552677
 diskon;0,213837629
 bruto;0,211690571
 sosialisasi;0,205200122
 bilang;0,20234372
 terima;0,199250155
 rei;0,195984295
 berarap;0,195234532
 layak;0,195129661
 jelata;0,191067531
 tinggal;0,189098488
 positif;0,185841123
 cerdas;0,184789992
 royong;0,183997331
 ayo;0,182470544
 strategi;0,18146129
 genius;0,1760793
 ngga;0,175401875
 khawatir;0,174200154
 turun;0,168712902
 sembunyi;0,167887625
 temen;0,165769259
 buntung;0,164705261
 syarat;0,164085796
 pribadi;0,161208046
 simpan;0,160661354
 rajin;0,159880564
 manfaat;0,157403454
 komisi;0,156543081
 nolak;0,155152034
 tata;0,153866712
 tumbuh;0,152412728
 level;0,152358685
 petinggi;0,152298632
 usaha;0,149775134
 mata;0,148753426
 beban;0,147425275
 dasar;0,14739812
 hubung;0,146956924
 stabilitas;0,146697584
 pakpolnya;0,145693915
 embat;0,145467205
 hpp;0,14210718
 tajir;0,141866055
 gapapa;0,141697327
 opini;0,140469474
 jangka;0,139659166
 kumpul;0,138302589
 eksesif;0,137481396
 termasu;0,134495195
 lemah;0,134095614
 konsumsi;0,129953275
 peran;0,129140362
 as;0,125636441
 gelar;0,124921212
 semangat;0,121876656
